iteration,accuracy,precision,recall,f1,roc_auc,timestamp,strategy_type,split_type,initial_size,batch_size,iterations,iteration_id
20,0.9030786773090079,0.9041340840371181,0.9031672560848762,0.9030282453244252,0.9653266070314125,20250730_162204,random,random,100,50,40,20
21,0.9007981755986317,0.9013601191406047,0.9008633243187019,0.9007728891854037,0.9665513833992095,20250730_162204,random,random,100,50,40,21
22,0.9042189281641961,0.9042790567038728,0.9042412107343457,0.9042178073642604,0.9647389224048263,20250730_162204,random,random,100,50,40,22
23,0.9053591790193842,0.9057964601769912,0.9054165799875182,0.9053414565953822,0.9626638235905971,20250730_162204,random,random,100,50,40,23
24,0.8996579247434435,0.8999281893303915,0.8997035573122529,0.8996473562118359,0.9656152485957978,20250730_162204,random,random,100,50,40,24
25,0.9053591790193842,0.9054444167030773,0.905385375494071,0.9053572101888799,0.9640992302891617,20250730_162204,random,random,100,50,40,25
26,0.9019384264538198,0.9022099993755595,0.9019840857083421,0.9019280981161124,0.9637377782400667,20250730_162204,random,random,100,50,40,26
27,0.9007981755986317,0.9010234557109558,0.9008399209486166,0.9007899202278091,0.9634855419180363,20250730_162204,random,random,100,50,40,27
28,0.9053591790193842,0.9055070593988326,0.905393176617433,0.9053547490355522,0.9664941751612232,20250730_162204,random,random,100,50,40,28
29,0.9007981755986317,0.9011189175123602,0.9008477220719784,0.9007852759778889,0.964845537757437,20250730_162204,random,random,100,50,40,29
30,0.9133409350057012,0.9135294729722698,0.9133789265654254,0.9133354137410932,0.9681428125650093,20250730_162204,random,random,100,50,40,30
31,0.9110604332953249,0.9112481140419333,0.9110983981693364,0.9110547667342799,0.9679711878510504,20250730_162204,random,random,100,50,40,31
32,0.9099201824401368,0.9106424761428512,0.9099932390264198,0.9098901899273352,0.965409819013938,20250730_162204,random,random,100,50,40,32
33,0.9076396807297605,0.9077252772402888,0.9076659038901602,0.907637759340955,0.9677501560224673,20250730_162204,random,random,100,50,40,33
34,0.9099201824401368,0.9103617907339927,0.9099776367796963,0.9099033141088577,0.9671910755148743,20250730_162204,random,random,100,50,40,34
35,0.9133409350057012,0.9138500145778666,0.9134023299355107,0.9133218893050354,0.9669518410651133,20250730_162204,random,random,100,50,40,35
36,0.9167616875712656,0.9173436019204133,0.9168270230913251,0.9167404702360284,0.9693103806948201,20250730_162204,random,random,100,50,40,36
37,0.9144811858608894,0.9153786828693813,0.9145620969419597,0.9144451453879723,0.9678515706261701,20250730_162204,random,random,100,50,40,37
38,0.9122006841505131,0.9127768925547537,0.912265966299147,0.9121783042215641,0.9702543166215936,20250730_162204,random,random,100,50,40,38
39,0.9144811858608894,0.9152107555111055,0.9145542958185979,0.9144527119563309,0.9688007073018515,20250730_162204,random,random,100,50,40,39
40,0.9156214367160775,0.9161330126202674,0.9156828583315997,0.9156028922180608,0.96824942791762,20250730_162204,random,random,100,50,40,40
1,0.8836944127708096,0.8888647214854111,0.8816925464221368,0.8827908805031447,0.9576446818925026,20250730_162204,uncertainty,sequential,100,50,40,1
2,0.8996579247434435,0.9002805466741897,0.8989674133783235,0.8993930418821959,0.9646769977400776,20250730_162204,uncertainty,sequential,100,50,40,2
3,0.9247434435575826,0.9247975529176351,0.9244878724445694,0.924623390423803,0.9810353985065766,20250730_162204,uncertainty,sequential,100,50,40,3
4,0.9030786773090079,0.9064338119031055,0.90154497453682,0.9025266320855992,0.9706704783328647,20250730_162204,uncertainty,sequential,100,50,40,4
5,0.9133409350057012,0.921670139445424,0.9109725997438061,0.9124796470402857,0.9724825819352017,20250730_162204,uncertainty,sequential,100,50,40,5
6,0.9087799315849487,0.9140043021690986,0.9068901594442882,0.9081078815566126,0.9745888920132054,20250730_162204,uncertainty,sequential,100,50,40,6
7,0.9190421892816419,0.9238008355809404,0.9172863227835577,0.9184928234362422,0.9713812603492986,20250730_162204,uncertainty,sequential,100,50,40,7
8,0.9190421892816419,0.9242348829821032,0.9172056112725342,0.9184616573234179,0.979840347424001,20250730_162204,uncertainty,sequential,100,50,40,8
9,0.9087799315849487,0.9120353786505964,0.9072937169994064,0.908276071245542,0.9765415898605513,20250730_162204,uncertainty,sequential,100,50,40,9
10,0.9304446978335233,0.9334446665264045,0.9291066537528249,0.9300953239642747,0.982412701388238,20250730_162204,uncertainty,sequential,100,50,40,10
11,0.9167616875712656,0.9238289151495795,0.9145994105456099,0.9160275706481463,0.9804886431093197,20250730_162204,uncertainty,sequential,100,50,40,11
12,0.9201824401368301,0.9222921914357682,0.9190333364576498,0.9198438397660208,0.979663302819175,20250730_162204,uncertainty,sequential,100,50,40,12
13,0.9110604332953249,0.9177411804757649,0.9089313795940471,0.9102952130170686,0.9799835452661397,20250730_162204,uncertainty,sequential,100,50,40,13
14,0.9007981755986317,0.9079934964550349,0.8985352162547776,0.8998796703202974,0.9718525114297913,20250730_162204,uncertainty,sequential,100,50,40,14
15,0.9247434435575826,0.9282049391040499,0.923277199779215,0.9243277587775721,0.9804652107351516,20250730_162204,uncertainty,sequential,100,50,40,15
16,0.9133409350057012,0.9177968520417332,0.911618291831995,0.9127692098292344,0.9763567344643359,20250730_162204,uncertainty,sequential,100,50,40,16
17,0.9042189281641961,0.9089328803657607,0.9024041615896523,0.9035506677140612,0.9687334020682976,20250730_162204,uncertainty,sequential,100,50,40,17
18,0.9007981755986317,0.9070044970816811,0.8986966392768249,0.899965780768792,0.9711573509961363,20250730_162204,uncertainty,sequential,100,50,40,18
19,0.9076396807297605,0.9172558064689159,0.9050624342591724,0.9066119776774271,0.9788900344716259,20250730_162204,uncertainty,sequential,100,50,40,19
20,0.9167616875712656,0.9243563089716936,0.9145186990345862,0.9159909877400196,0.9781115589298174,20250730_162204,uncertainty,sequential,100,50,40,20
21,0.9133409350057012,0.9211184729957536,0.9110533112548297,0.9125191625191625,0.9819726934733027,20250730_162204,uncertainty,sequential,100,50,40,21
22,0.9258836944127709,0.9279015117340355,0.9247820789202361,0.9255802598718266,0.9809651013840722,20250730_162204,uncertainty,sequential,100,50,40,22
23,0.9053591790193842,0.9137472864735384,0.9029405025983899,0.9043965930508219,0.9780126222388852,20250730_162204,uncertainty,sequential,100,50,40,23
24,0.9144811858608894,0.9200384896777682,0.9125581903958508,0.9138340977241197,0.9824100977911082,20250730_162204,uncertainty,sequential,100,50,40,24
25,0.9247434435575826,0.9317364568705051,0.9226315076910259,0.9240959494759812,0.9854042344903718,20250730_162204,uncertainty,sequential,100,50,40,25
26,0.9293044469783353,0.9358857901726427,0.9272789285677092,0.928726103962836,0.9849850553524749,20250730_162204,uncertainty,sequential,100,50,40,26
27,0.9201824401368301,0.9265683930942895,0.91814550983639,0.9195294722161051,0.9827902229720582,20250730_162204,uncertainty,sequential,100,50,40,27
28,0.9133409350057012,0.9191061007957559,0.9113761572989242,0.912667714884696,0.9813999021047479,20250730_162204,uncertainty,sequential,100,50,40,28
29,0.9156214367160775,0.9219096945551128,0.9135788004707304,0.9149311563427397,0.9828344841232647,20250730_162204,uncertainty,sequential,100,50,40,29
30,0.9133409350057012,0.9186508567250532,0.9114568688099478,0.912702487478782,0.9819726934733027,20250730_162204,uncertainty,sequential,100,50,40,30
