timestamp,strategy_type,iterations,test_size,initial_size,batch_size,total_labeled_samples,accuracy_final,accuracy_mean,accuracy_std,duration_sec,Data Splitting Strategy (extra column)
20250513_210537,random,39,0.1,100,100,4000,0.925883694,0.907873578,0.026334459,480.9,Manual Temporal Split
20250513_210537,entropy,39,0.1,100,100,4000,0.916761688,0.915299828,0.013357402,480.9,Manual Temporal Split
20250513_210537,margin,39,0.1,100,100,4000,0.913340935,0.910007894,0.017225898,480.9,Manual Temporal Split
20250513_212301,uncertainty,76,0.1,200,50,4000,0.916761688,0.913445958,0.011832754,989.02,Manual Temporal Split
20250513_212301,random,76,0.1,200,50,4000,0.92018244,0.911720579,0.012919367,989.02,Manual Temporal Split
20250513_212301,entropy,76,0.1,200,50,4000,0.917901938,0.912425734,0.014157417,989.02,Manual Temporal Split
20250513_212301,margin,76,0.1,200,50,4000,0.919042189,0.915156334,0.007504935,989.02,Manual Temporal Split
20250514_082000,uncertainty,38,0.1,200,100,4000,0.921322691,0.917061754,0.006924442,487.78,Manual Temporal Split
20250514_082000,random,38,0.1,200,100,4000,0.925883694,0.921052632,0.01266339,487.78,Manual Temporal Split
20250514_082000,entropy,38,0.1,200,100,4000,0.911060433,0.911540539,0.012332677,487.78,Manual Temporal Split
20250514_082000,margin,38,0.1,200,100,4000,0.919042189,0.918442057,0.010557208,487.78,Manual Temporal Split
20250514_084740,uncertainty,74,0.1,300,50,4000,0.921322691,0.915282443,0.006990704,951.54,Manual Temporal Split
20250514_084740,random,74,0.1,300,50,4000,0.92018244,0.920490616,0.012440501,951.54,Manual Temporal Split
20250514_084740,entropy,74,0.1,300,50,4000,0.922462942,0.917131499,0.009081678,951.54,Manual Temporal Split
20250514_084740,margin,74,0.1,300,50,4000,0.921322691,0.917994391,0.008003204,951.54,Manual Temporal Split
20250514_090559,uncertainty,37,0.1,300,100,4000,0.923603193,0.919566088,0.005410923,498.64,Manual Temporal Split
20250514_090559,random,37,0.1,300,100,4000,0.909920182,0.908317668,0.005364386,498.64,Manual Temporal Split
20250514_090559,entropy,37,0.1,300,100,4000,0.916761688,0.916484329,0.009173502,498.64,Manual Temporal Split
20250514_090559,margin,37,0.1,300,100,4000,0.916761688,0.916237789,0.009408707,498.64,Manual Temporal Split
20250514_092507,uncertainty,72,0.1,400,50,4000,0.911060433,0.914671228,0.005550392,954.93,Manual Temporal Split
20250514_092507,random,72,0.1,400,50,4000,0.92018244,0.917886102,0.008584534,954.93,Manual Temporal Split
20250514_092507,entropy,72,0.1,400,50,4000,0.919042189,0.915732294,0.00509638,954.93,Manual Temporal Split
20250514_092507,margin,72,0.1,400,50,4000,0.914481186,0.916334094,0.006677036,954.93,Manual Temporal Split
20250514_094110,uncertainty,36,0.1,400,100,4000,0.922462942,0.912137337,0.00710535,484.28,Manual Temporal Split
20250514_094110,random,36,0.1,400,100,4000,0.916761688,0.909128342,0.010559963,484.28,Manual Temporal Split
20250514_094110,entropy,36,0.1,400,100,4000,0.919042189,0.914006081,0.006574321,484.28,Manual Temporal Split
20250514_094110,margin,36,0.1,400,100,4000,0.919042189,0.913182567,0.006428656,484.28,Manual Temporal Split
20250514_100141,uncertainty,70,0.1,500,50,4000,0.915621437,0.912184395,0.006921112,946.87,Manual Temporal Split
20250514_100141,random,70,0.1,500,50,4000,0.915621437,0.912673074,0.006736152,946.87,Manual Temporal Split
20250514_100141,entropy,70,0.1,500,50,4000,0.919042189,0.914187978,0.005911377,946.87,Manual Temporal Split
20250514_100141,margin,70,0.1,500,50,4000,0.911060433,0.91553999,0.006370032,946.87,Manual Temporal Split
20250514_101421,uncertainty,35,0.1,500,100,4000,0.912200684,0.915849487,0.007828088,485.44,Manual Temporal Split
20250514_101421,random,35,0.1,500,100,4000,0.914481186,0.913047728,0.005364499,485.44,Manual Temporal Split
20250514_101421,entropy,35,0.1,500,100,4000,0.915621437,0.916273009,0.010373099,485.44,Manual Temporal Split
20250514_101421,margin,35,0.1,500,100,4000,0.919042189,0.917771624,0.006332662,485.44,Manual Temporal Split
